block_number,order_index,stem,c1,c2,c3,c4,correct,explanation
1,1,"通謀虚偽表示の効果として正しいのはどれか。","当事者間で有効","当事者間で無効","常に第三者に対抗できる","常に取消可能",2,"通謀虚偽表示は当事者間で無効（民94①）。"
1,2,"通謀虚偽表示について正しいのはどれか。","善意の第三者には対抗できない","悪意の第三者にも対抗できない","第三者は常に保護されない","当事者間では取消可能にとどまる",1,"善意第三者保護があり当事者は対抗不可（民94②）。"
1,3,"錯誤による意思表示は原則としてどうなるか。","当然無効","取消すことができる","常に有効","相手方が追認すれば無効",2,"錯誤は取消しが原則（民95）。"
1,4,"錯誤取消しについて正しいのはどれか。","常に取消せる","重要な部分の錯誤で取消し得る","相手方が悪意なら無効になる","第三者には常に対抗できない",2,"重要な部分の錯誤で取消し得るのが基本。"
1,5,"詐欺による意思表示はどうなるか。","当然無効","取消すことができる","常に有効","追認がなければ無効",2,"詐欺は取消し（民96①）。"
1,6,"詐欺取消しで第三者が保護される条件として正しいのはどれか。","第三者が善意無過失","第三者が善意で足りる","第三者が悪意でも保護","第三者は常に保護されない",1,"詐欺取消しは善意無過失第三者が保護される（民96②）。"
1,7,"制限行為能力者による法律行為の効果として正しいのはどれか。","常に無効","原則として取消すことができる","常に有効","必ず追認が必要",2,"制限行為能力者の行為は原則取消可能。"
1,8,"未成年者が法定代理人の同意なく行った契約の取扱いとして正しいのはどれか。","常に無効","取消すことができる","当然に追認される","第三者が悪意なら有効",2,"未成年者の同意欠缺は取消し（民5）。"
1,9,"成年被後見人が行った法律行為の取扱いとして正しいのはどれか。","常に有効","原則として取消すことができる","常に無効","必ず無権代理になる",2,"成年被後見人の行為は原則取消可能。"
1,10,"被保佐人について正しいのはどれか。","すべての行為に同意が必要","重要な行為に同意が必要","同意なくした行為は無効","常に代理権が付く",2,"保佐は重要行為に同意が必要で違反は取消可能。"
1,11,"被保佐人が保佐人の同意なく保証契約をした場合の取扱いはどれか。","有効","無効","取消すことができる","追認がないと無効",3,"保証は重要行為で同意欠缺は取消可能。"
1,12,"被補助人について正しいのはどれか。","原則すべての行為に同意が必要","特定の行為について同意・代理が付く","同意なくした行為は無効","常に取消せない",2,"補助は特定行為に限って同意・代理が付く。"
1,13,"無権代理の効果として正しいのはどれか。","当然有効","本人が追認すれば有効になる","常に無効で追認不可","常に取消可能",2,"無権代理は追認で有効となる（民113）。"
1,14,"無権代理で相手方が本人に対してできることとして正しいのはどれか。","常に解除できる","追認の催告ができる","必ず損害賠償請求できる","代理人へ登記請求できる",2,"相手方は本人に追認の催告ができる（民114）。"
1,15,"無権代理で本人が追認しない場合の相手方保護として正しいのはどれか。","相手方は履行請求できる","相手方は取消すことができる","相手方は常に無効主張できない","相手方は必ず損害賠償を受ける",2,"追認がないと相手方は取消し得る（民115）。"
1,16,"無権代理人に対する責任として正しいのはどれか。","常に本人と同じ責任","善意無過失なら責任なし","原則として履行または損害賠償責任","登記がないと責任なし",3,"無権代理人は原則履行・賠償責任（民117）。"
1,17,"表見代理の本質として正しいのはどれか。","代理人の善意保護","本人の外観作出責任","登記の公信力","契約自由の原則",2,"表見代理は本人の外観作出責任を根拠に第三者を保護する。"
1,18,"代理権授与表示型の表見代理が成立する典型として正しいのはどれか。","本人が代理権があると表示した","代理人が勝手に名刺を作った","第三者が悪意で信じた","代理権が消滅しているのに表示した",1,"本人の授与表示により第三者が信頼した場合（民109）。"
1,19,"権限外の行為の表見代理の典型として正しいのはどれか。","全く代理権がない者の行為","一部代理権がある者が範囲超過","本人が追認した行為","未成年者の行為",2,"一部代理権あり＋範囲超過で表見代理が問題（民110）。"
1,20,"代理権消滅後の表見代理が成立し得る典型として正しいのはどれか。","代理権が最初からない","代理権が消滅したのに外観が残る","本人が常に悪意","第三者が常に悪意",2,"消滅後も外観が残り第三者が信頼する場合（民112）。"
1,21,"意思表示の到達について正しいのはどれか。","相手方が読んだ時に効力発生","相手方に到達した時に効力発生","発信した時に効力発生","第三者に通知した時に効力発生",2,"到達主義：到達時に効力が生じるのが原則。"
1,22,"代理人の行為の効果帰属として正しいのはどれか。","代理人に帰属する","本人に帰属する","常に共同帰属","第三者に帰属する",2,"適法な代理は効果が本人に帰属する。"
1,23,"代理行為で顕名がない場合の取扱いとして正しいのはどれか。","常に代理が成立する","原則として代理にならない","当然に本人に帰属する","常に無効",2,"顕名がないと原則代理の効果が本人に帰属しない。"
1,24,"時効の完成により原則として生じる効果はどれか。","当然に権利が消滅する","時効を援用できる","必ず登記が必要","相手方が追認すれば無効",2,"時効の効果は援用によって生じるのが原則。"
1,25,"時効の援用について正しいのはどれか。","誰でも援用できる","利益を受ける者が援用できる","裁判所が職権で援用する","第三者は常に援用できない",2,"時効は利益を受ける者が援用できる。"
1,26,"消滅時効の進行に関する基本として正しいのはどれか。","権利を行使できる時から進行する","契約成立時から必ず進行","登記時から進行","相手方が悪意の時だけ進行する",1,"消滅時効は権利行使可能時から進行するのが基本。"
1,27,"善意・悪意の意味として正しいのはどれか。","善意＝知らない","善意＝知っている","悪意＝過失がない","悪意＝必ず重過失",1,"善意は事実を知らないこと、悪意は知っていること。"
1,28,"代理権の範囲外行為を本人が追認した場合の取扱いはどれか。","無効のまま","追認により有効になる","当然取消可能","第三者に対抗できない",2,"追認があれば本人に効果が帰属する。"
1,29,"日用品の購入等の行為の取扱いとして正しいのはどれか。","制限行為能力でも常に取消可能","日用品の購入は原則取消せない","日用品の購入は常に無効","日用品の購入は表見代理になる",2,"日用品購入などは保護の限界として取消制限がある。"
1,30,"詐欺と通謀虚偽表示の違いとして正しいのはどれか。","詐欺は当事者間無効","通謀虚偽表示は取消し","詐欺は取消し、通謀虚偽表示は無効","両者とも常に無効",3,"詐欺は取消し、通謀虚偽表示は当事者間無効。"
